HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
END04-11-49,2011,24/02/2011,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,32,APHRODITE ACULEATA,SEA MOUSE,Polychaete,END04-11-49/HAD-3,1,,1
END04-11-83,2011,28/02/2011,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,25.2,APHRODITE ACULEATA,SEA MOUSE,Polychaete,END04-11-83/HAD-1,1,,1
CIROL03-91-62,1991,01/04/1991,Channel,VIIe,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,25,AMPHIPODA,AMPHIPODA,Amphipod,CIROL03-91-62\HAD-1004711,1,,1
CIROL03-91-8,1991,12/03/1991,Celtic Sea,VIIj,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,21,AMPHIPODA,AMPHIPODA,Amphipod,CIROL03-91-8\HAD-1003910,1,,1
CIROL04-92-15,1992,29/03/1992,Celtic Sea,VIIj,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,21,AMPHIPODA,AMPHIPODA,Amphipod,CIROL04-92-15\HAD-375,1,,1
CIROL04-92-22,1992,30/03/1992,Celtic Sea,VIIj,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,20,AMPHIPODA,AMPHIPODA,Amphipod,CIROL04-92-22\HAD-339,1,,1
CIROL04-92-35,1992,02/04/1992,Celtic Sea,VIIj,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,24,AMPHIPODA,AMPHIPODA,Amphipod,CIROL04-92-35\HAD-353,1,,3
CLION11-83-24,1983,15/09/1983,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,16,AMPHIPODA,AMPHIPODA,Amphipod,CLION11-83-24\HAD-3,1,,1
CLION11-83-54,1983,22/09/1983,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,13,AMPHIPODA,AMPHIPODA,Amphipod,CLION11-83-54\HAD-2,1,,8
CIROL03-78-A2,1978,01/03/1978,North Sea,IVb/IVc,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,22,AMPHIPODA,AMPHIPODA,Amphipod,CIROL03-78-A2\HAD-2,1,,1
CIROL04-92-2,1992,20/03/1992,Channel,VIIe,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,63,ANTHOZOA,ANEMONE SPP,Anemone,CIROL04-92-2\HAD-366,1,,2
CIROL04-92-2,1992,20/03/1992,Channel,VIIe,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,39,ANTHOZOA,ANEMONE SPP,Anemone,CIROL04-92-2\HAD-372,1,,2
CLION11-83-58,1983,23/09/1983,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,45,ANTHOZOA,ANEMONE SPP,Anemone,CLION11-83-58\HAD-3,1,,10
END04-10-69,2010,25/02/2010,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,69.3,GONEPLAX RHOMBOIDES,ANGULAR CRAB,Crab,END04-10-69\HAD-1,1,1.80,1
END04-10-69,2010,25/02/2010,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,69.3,GONEPLAX RHOMBOIDES,ANGULAR CRAB,Crab,END04-10-69\HAD-1,1,1.70,1
END04-10-63,2010,24/02/2010,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,57.5,GONEPLAX RHOMBOIDES,ANGULAR CRAB,Crab,END04-10-63\HAD-1,1,1.70,1
END04-10-63,2010,24/02/2010,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,57.5,GONEPLAX RHOMBOIDES,ANGULAR CRAB,Crab,END04-10-63\HAD-1,1,1.50,1
END04-10-2,2010,17/02/2010,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,55,APHRODITE ACULEATA,SEA MOUSE,Polychaete,END04-10-2\HAD-1,1,,1
CLION11-83-49,1983,21/09/1983,Irish Sea,VIIa,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,34,APHRODITE ACULEATA,SEA MOUSE,Polychaete,CLION11-83-49\HAD-2,1,,1
CIROL04-92-2,1992,20/03/1992,Channel,VIIe,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,41,ASCIDIACEA,SEA SQUIRTS,Ascidian,CIROL04-92-2\HAD-371,1,,1
CIROL04-92-2,1992,20/03/1992,Channel,VIIe,MELANOGRAMMUS AEGLEFINUS,HADDOCK,n,41,BIVALVIA,MOLLUSCA-BIVALVIA,Bivalve,CIROL04-92-2\HAD-371,1,,1
